epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,329.335,1.55395,1.69068,1.44525,0.51072,0.42206,0.40588,0.19148,1.8139,1.89432,1.69306,0.000665891,0.000665891,0.000665891
2,637.579,1.67289,1.65792,1.55318,0.53759,0.42267,0.42859,0.20513,1.82726,1.73809,1.68709,0.0012666,0.0012666,0.0012666
3,924.454,1.68191,1.66078,1.56132,0.55618,0.44221,0.44727,0.21369,1.78091,1.66977,1.63812,0.0018013,0.0018013,0.0018013
4,1202.42,1.64516,1.6135,1.54158,0.56028,0.44527,0.45581,0.23012,1.67958,1.65094,1.6039,0.001703,0.001703,0.001703
5,1479.51,1.60313,1.5599,1.52084,0.57989,0.4532,0.47697,0.25069,1.65799,1.55244,1.57368,0.001604,0.001604,0.001604
6,1755.76,1.58374,1.52687,1.50145,0.58522,0.47518,0.49978,0.26605,1.60995,1.48975,1.53088,0.001505,0.001505,0.001505
7,2031.65,1.55476,1.47888,1.4863,0.60013,0.49533,0.51376,0.26908,1.60425,1.46407,1.51015,0.001406,0.001406,0.001406
8,2308.01,1.544,1.45646,1.47804,0.59375,0.4978,0.5214,0.27824,1.58351,1.43962,1.50819,0.001307,0.001307,0.001307
9,2584.49,1.51652,1.4254,1.45964,0.6033,0.50201,0.53004,0.28683,1.55791,1.39187,1.50124,0.001208,0.001208,0.001208
10,2865.57,1.50294,1.39374,1.45045,0.61153,0.50046,0.54018,0.29239,1.53974,1.40347,1.48237,0.001109,0.001109,0.001109
11,3175.66,1.54226,1.38129,1.48221,0.61993,0.51066,0.54538,0.30009,1.53414,1.36301,1.46966,0.00101,0.00101,0.00101
12,3458.59,1.51321,1.34397,1.46673,0.61864,0.51368,0.54989,0.30425,1.52606,1.32977,1.47472,0.000911,0.000911,0.000911
13,3743.26,1.50062,1.31911,1.4577,0.61899,0.51931,0.55594,0.3079,1.50905,1.32111,1.45242,0.000812,0.000812,0.000812
14,4021.67,1.48742,1.29519,1.44647,0.62871,0.52763,0.56555,0.31192,1.51212,1.29055,1.45179,0.000713,0.000713,0.000713
15,4300.68,1.46901,1.26952,1.43669,0.632,0.52824,0.56494,0.31588,1.49077,1.2931,1.44523,0.000614,0.000614,0.000614
16,4582.69,1.45785,1.24949,1.4275,0.62929,0.53578,0.57249,0.3212,1.47626,1.26701,1.43632,0.000515,0.000515,0.000515
17,4862.15,1.43677,1.20917,1.4053,0.63581,0.53648,0.57696,0.32564,1.47151,1.25092,1.43159,0.000416,0.000416,0.000416
18,5138.7,1.41793,1.19743,1.39766,0.64282,0.54222,0.58576,0.33122,1.4645,1.23419,1.42,0.000317,0.000317,0.000317
19,5411.74,1.40808,1.16878,1.38469,0.64562,0.5432,0.58926,0.33538,1.45353,1.21765,1.4109,0.000218,0.000218,0.000218
20,5689.69,1.38135,1.14248,1.37104,0.65443,0.54479,0.59207,0.33683,1.45309,1.20829,1.41093,0.000119,0.000119,0.000119
